allocation,method,frequency,portfolio_size,final_return,sharpe,max_drawdown,total_costs
"(0.6, 0.4)",markowitz,daily,10000.0,-0.3678434193395572,-0.8037641222370523,-0.387948876521388,7624.0030800193545
"(0.6, 0.4)",markowitz,daily,100000.0,0.19560664573110165,0.40711433464255303,-0.21779934287713676,31178.72199417228
"(0.6, 0.4)",markowitz,daily,1.0e6,0.21319808957377773,0.43520126329328784,-0.22352883398578371,299575.46021158027
"(0.6, 0.4)",markowitz,weekly,10000.0,0.23864709242944393,0.4813529667849194,-0.20403424147757165,2922.6742637483926
"(0.6, 0.4)",markowitz,weekly,100000.0,0.3531879102288573,0.6531712800182746,-0.19255018424656078,20157.983106118434
"(0.6, 0.4)",markowitz,weekly,1.0e6,0.3433158209352385,0.6392107913673396,-0.19755512803874942,210248.9375759384
"(0.6, 0.4)",markowitz,biweekly,10000.0,0.4012334304853611,0.7168068987084754,-0.15745791521307473,2129.5672920986904
"(0.6, 0.4)",markowitz,biweekly,100000.0,0.4604700604161973,0.7973234025609615,-0.1516810799451035,16810.36531059054
"(0.6, 0.4)",markowitz,biweekly,1.0e6,0.45118223410179414,0.7851671260954942,-0.15417275494629656,175651.60491649504
"(0.6, 0.4)",markowitz,monthly,10000.0,0.4191135614564876,0.7370941601022956,-0.1386048231963164,1794.9191969168007
"(0.6, 0.4)",markowitz,monthly,100000.0,0.4474498451099067,0.7745652464448591,-0.1356277375167796,15833.48987489067
"(0.6, 0.4)",markowitz,monthly,1.0e6,0.4392156959214406,0.7637104524406102,-0.13725294040086689,164679.33495569273
"(0.6, 0.4)",black_litterman,daily,10000.0,-0.27166363532317883,-0.6593572397855705,-0.28763214875145093,6670.7010523564
"(0.6, 0.4)",black_litterman,daily,100000.0,0.42454538414467735,0.8575510466610994,-0.11493213362818666,13783.047192632126
"(0.6, 0.4)",black_litterman,daily,1.0e6,0.49356309379203434,0.9650866282752533,-0.11156668339576048,85319.12047142524
"(0.6, 0.4)",black_litterman,weekly,10000.0,0.3718254211401999,0.7696768315314657,-0.11648185035310687,1724.9912106081563
"(0.6, 0.4)",black_litterman,weekly,100000.0,0.5126416593476042,0.9910016689357669,-0.11035714455111656,6494.758540091759
"(0.6, 0.4)",black_litterman,weekly,1.0e6,0.526216939580689,1.011798902630679,-0.11007809360359677,54529.260957935316
"(0.6, 0.4)",black_litterman,biweekly,10000.0,0.4598959678440646,0.9110438305851773,-0.11117892987384281,1020.5880734606266
"(0.6, 0.4)",black_litterman,biweekly,100000.0,0.5305091931066599,1.0189923533916894,-0.10867652655235827,4794.173295435333
"(0.6, 0.4)",black_litterman,biweekly,1.0e6,0.5370750333818186,1.029327952807204,-0.1085556285532211,42850.2642004082
"(0.6, 0.4)",black_litterman,monthly,10000.0,0.5035469084277073,0.9802269085382936,-0.10888558120878966,659.4926525540957
"(0.6, 0.4)",black_litterman,monthly,100000.0,0.5375803203161791,1.0301999118018481,-0.10842728666923096,3962.638874566644
"(0.6, 0.4)",black_litterman,monthly,1.0e6,0.5404955803349165,1.034942106049439,-0.10838625014478609,37306.41898760016
"(0.6, 0.4)",risk_parity,daily,10000.0,-0.43630589603381154,-2.018456329764947,-0.43821190037997027,6403.948296574012
"(0.6, 0.4)",risk_parity,daily,100000.0,0.18268163509831248,0.6405760712000795,-0.07720668501258121,10336.635837511103
"(0.6, 0.4)",risk_parity,daily,1.0e6,0.2439586347850129,0.8233105793634445,-0.07374264550917986,50157.43634304409
"(0.6, 0.4)",risk_parity,weekly,10000.0,0.12319436709893838,0.4527716981238032,-0.08297965650694572,1511.9644270562146
"(0.6, 0.4)",risk_parity,weekly,100000.0,0.2473900414526946,0.8275786181352549,-0.07368622378872736,4312.012211296314
"(0.6, 0.4)",risk_parity,weekly,1.0e6,0.25926702306419735,0.8628376502479309,-0.07298976197445395,32734.42818477931
"(0.6, 0.4)",risk_parity,biweekly,10000.0,0.19549089965574895,0.6745597791855468,-0.07680098343542918,873.5875976267589
"(0.6, 0.4)",risk_parity,biweekly,100000.0,0.2575907839700624,0.8564457246779872,-0.07324828868094613,3327.114014219887
"(0.6, 0.4)",risk_parity,biweekly,1.0e6,0.263261062607435,0.8739671182537087,-0.0728996360634605,28275.96804261874
"(0.6, 0.4)",risk_parity,monthly,10000.0,0.23319252563037263,0.7875511742228681,-0.07422463607273189,539.5989693275728
"(0.6, 0.4)",risk_parity,monthly,100000.0,0.2631606590684632,0.8721201931498669,-0.07269751432825156,2774.1999058263373
"(0.6, 0.4)",risk_parity,monthly,1.0e6,0.26560675119942,0.880204622474805,-0.07254743192685431,25535.94299670683
"(0.7, 0.3)",markowitz,daily,10000.0,-0.34226594008947964,-0.6230466905773664,-0.3943110833378235,7930.128497792209
"(0.7, 0.3)",markowitz,daily,100000.0,0.2203996212061321,0.4090378274106536,-0.2532438548946062,35542.605506449356
"(0.7, 0.3)",markowitz,daily,1.0e6,0.226978911794123,0.4182601881544877,-0.2620468594406664,353003.7741807632
